Expected,Calculated
4.07,4.3043
4.02,4.104
4.0,3.8728
4.15,4.5863
4.1,4.2583
4.02,3.8133
3.95,3.4887
3.45,3.976
3.3,3.9763
3.0,3.8196
3.35,3.8196
4.15,3.8196
4.2,3.8196
3.05,3.4678
2.55,3.2155
2.3,3.3128
2.928,3.7536
3.126,3.2583
4.36,3.9754
2.402,3.1322
2.808,2.6949
3.328,2.8557
1.7,4.2285
3.45,4.1914
2.55,4.1931
3.55,4.3424
3.5,4.3115
3.15,4.3132
3.25,4.3377
3.6,4.281
2.55,4.3064
3.0,4.3747
3.75,4.3159
3.4,4.3453
3.85,3.5333
3.75,3.5269
3.2,3.4988
2.85,3.4077
2.0,3.3112
1.75,3.1923
2.0,4.2046
2.2,4.4178
2.8,4.4178
2.3,4.4178
1.5,3.5953
1.7,4.4178
1.8,4.4178
1.85,4.4178
3.0,4.1472
3.05,4.1594
3.15,4.1182
3.08,4.1138
2.2,3.8747
2.4,3.9076
2.5,3.8939
2.45,3.8824
1.75,3.6327
1.85,3.6195
1.9,3.5008
1.85,3.5064
1.55,3.5058
1.6,3.4822
1.6,3.3953
1.75,3.3573
5.0,4.5863
3.5,4.1474
3.05,3.692
3.1,3.3693
2.2,3.1523
1.95,2.9594
2.0,2.7889
5.0,4.5863
3.2,3.8675
2.5,3.4092
2.1,3.1036
2.2,2.8481
2.0,2.6333
2.1,2.446
